"Date","Price","Open","High","Low","Vol.","Change %"
"07/22/2010","1,401.42","1,403.12","1,404.24","1,398.88","433.71K","-0.12%"
"07/25/2010","1,391.22","1,401.42","1,401.42","1,389.58","229.65K","-0.73%"
"07/26/2010","1,387.13","1,392.87","1,392.87","1,387.13","1.05M","-0.29%"
"07/27/2010","1,381.85","1,387.13","1,387.13","1,381.85","1.95M","-0.38%"
"07/28/2010","1,391.80","1,381.85","1,395.09","1,381.51","1.56M","0.72%"
"07/29/2010","1,393.92","1,391.80","1,398.47","1,389.83","1.83M","0.15%"
"08/01/2010","1,393.14","1,393.92","1,395.92","1,393.14","348.81K","-0.06%"
"08/02/2010","1,395.61","1,395.20","1,403.85","1,395.20","2.27M","0.18%"
"08/03/2010","1,397.25","1,395.61","1,397.25","1,393.55","443.17K","0.12%"
"08/04/2010","1,399.00","1,397.15","1,399.37","1,395.09","2.39M","0.13%"
"08/05/2010","1,401.13","1,400.65","1,401.13","1,397.72","319.15K","0.15%"
"08/08/2010","1,399.74","1,401.13","1,401.62","1,398.09","606.24K","-0.10%"
"08/09/2010","1,400.84","1,399.74","1,403.99","1,399.36","1.73M","0.08%"
"08/10/2010","1,407.87","1,400.84","1,407.87","1,400.84","1.46M","0.50%"
"08/11/2010","1,409.19","1,407.87","1,409.19","1,407.26","1.13M","0.09%"
"08/12/2010","1,409.38","1,409.19","1,409.38","1,407.33","611.86K","0.01%"
"08/15/2010","1,406.45","1,409.38","1,409.52","1,405.40","697.00K","-0.21%"
"08/16/2010","1,409.51","1,406.45","1,409.58","1,406.45","1.58M","0.22%"
"08/17/2010","1,415.50","1,410.72","1,419.47","1,410.72","1.21M","0.42%"
"08/18/2010","1,413.53","1,415.50","1,418.27","1,412.32","2.70M","-0.14%"
"08/19/2010","1,409.12","1,413.53","1,413.53","1,409.12","2.07M","-0.31%"
"08/22/2010","1,409.10","1,409.12","1,409.12","1,408.76","3.56M","0.00%"
"08/23/2010","1,418.70","1,407.89","1,421.10","1,406.68","1.22M","0.68%"
"08/24/2010","1,424.27","1,422.82","1,431.06","1,422.82","1.43M","0.39%"
"08/25/2010","1,434.25","1,424.30","1,436.73","1,424.30","409.85K","0.70%"
"08/26/2010","1,433.26","1,434.25","1,436.53","1,433.26","1.08M","-0.07%"
"08/29/2010","1,431.28","1,434.47","1,434.47","1,431.28","1.47M","-0.14%"
"08/30/2010","1,422.72","1,431.31","1,431.65","1,422.65","376.10K","-0.60%"
"08/31/2010","1,418.61","1,422.72","1,423.00","1,417.40","513.93K","-0.29%"
"09/01/2010","1,423.06","1,418.61","1,423.06","1,418.61","853.13K","0.31%"
"09/02/2010","1,420.14","1,423.06","1,423.06","1,418.92","1.88M","-0.21%"
"09/05/2010","1,414.82","1,420.14","1,420.14","1,414.82","2.71M","-0.37%"
"09/06/2010","1,422.72","1,414.82","1,422.82","1,414.82","6.37M","0.56%"
"09/07/2010","1,430.49","1,422.72","1,430.49","1,422.72","598.26K","0.55%"
"09/08/2010","1,430.80","1,430.49","1,433.20","1,430.49","1.35M","0.02%"
"09/09/2010","1,440.77","1,430.80","1,443.06","1,430.80","724.67K","0.70%"
"09/15/2010","1,445.09","1,440.77","1,450.31","1,440.77","12.54M","0.30%"
"09/16/2010","1,443.20","1,444.75","1,444.75","1,438.69","1.11M","-0.13%"
"09/19/2010","1,437.23","1,443.20","1,443.56","1,437.23","640.70K","-0.41%"
"09/20/2010","1,438.98","1,437.23","1,439.29","1,437.23","702.89K","0.12%"
"09/21/2010","1,437.47","1,438.98","1,439.12","1,437.47","585.26K","-0.10%"
"09/22/2010","1,440.59","1,438.29","1,440.59","1,438.21","1.56M","0.22%"
"09/23/2010","1,445.75","1,442.24","1,447.81","1,441.81","1.02M","0.36%"
"09/26/2010","1,445.68","1,445.68","1,445.68","1,445.34","367.46K","0.00%"
"09/27/2010","1,453.67","1,445.68","1,453.67","1,445.58","449.36K","0.55%"
"09/28/2010","1,451.30","1,453.67","1,453.67","1,446.91","874.47K","-0.16%"
"09/29/2010","1,443.42","1,452.72","1,452.72","1,443.08","1.49M","-0.54%"
"09/30/2010","1,444.76","1,443.68","1,444.76","1,435.78","2.31M","0.09%"
"10/03/2010","1,449.08","1,446.82","1,449.08","1,444.57","647.81K","0.30%"
"10/04/2010","1,455.90","1,449.18","1,455.90","1,448.16","642.60K","0.47%"
"10/05/2010","1,450.98","1,455.90","1,455.90","1,450.15","786.80K","-0.34%"
"10/06/2010","1,451.35","1,451.80","1,451.90","1,449.51","1.91M","0.03%"
"10/07/2010","1,458.46","1,450.53","1,458.49","1,450.53","1.46M","0.49%"
"10/10/2010","1,459.67","1,459.67","1,459.67","1,459.67","1.02M","0.08%"
"10/11/2010","1,460.19","1,459.67","1,460.19","1,456.74","1.16M","0.04%"
"10/12/2010","1,472.51","1,460.19","1,472.51","1,460.19","779.02K","0.84%"
"10/13/2010","1,474.04","1,472.51","1,477.14","1,470.96","1.95M","0.10%"
"10/14/2010","1,459.44","1,474.04","1,475.03","1,459.44","1.11M","-0.99%"
"10/17/2010","1,460.71","1,459.34","1,462.49","1,459.34","391.27K","0.09%"
"10/18/2010","1,461.56","1,461.10","1,461.56","1,460.42","1.35M","0.06%"
"10/19/2010","1,465.56","1,460.87","1,465.56","1,458.99","587.44K","0.27%"
"10/20/2010","1,466.09","1,465.56","1,466.09","1,463.59","708.14K","0.04%"
"10/21/2010","1,465.39","1,468.15","1,470.62","1,459.09","1.28M","-0.05%"
"10/24/2010","1,469.99","1,465.25","1,474.43","1,465.11","1.62M","0.31%"
"10/25/2010","1,468.87","1,469.99","1,469.99","1,468.34","63.00K","-0.08%"
"10/26/2010","1,466.61","1,467.22","1,468.11","1,464.57","610.80K","-0.15%"
"10/27/2010","1,464.67","1,465.82","1,467.47","1,462.14","1.44M","-0.13%"
"10/28/2010","1,462.63","1,464.67","1,464.93","1,459.83","3.43M","-0.14%"
"10/31/2010","1,462.42","1,462.63","1,462.63","1,459.72","1.90M","-0.01%"
"11/01/2010","1,461.94","1,462.32","1,462.71","1,459.57","798.64K","-0.03%"
"11/02/2010","1,460.26","1,461.94","1,462.28","1,460.26","1.36M","-0.11%"
"11/03/2010","1,460.08","1,460.26","1,460.26","1,455.88","732.79K","-0.01%"
"11/04/2010","1,465.62","1,460.08","1,465.93","1,460.08","1.37M","0.38%"
"11/07/2010","1,463.14","1,465.62","1,465.62","1,463.14","1.98M","-0.17%"
"11/08/2010","1,456.00","1,461.08","1,463.14","1,456.00","1.96M","-0.49%"
"11/09/2010","1,454.52","1,456.00","1,456.03","1,450.42","1.49M","-0.10%"
"11/10/2010","1,447.68","1,454.52","1,454.52","1,439.19","1.00M","-0.47%"
"11/11/2010","1,450.41","1,447.28","1,450.41","1,446.63","1.15M","0.19%"
"11/14/2010","1,452.01","1,450.41","1,452.01","1,450.41","266.44K","0.11%"
"11/15/2010","1,455.57","1,452.11","1,455.57","1,452.01","361.94K","0.25%"
"11/16/2010","1,452.01","1,452.01","1,452.01","1,452.01","","-0.24%"
"11/17/2010","1,452.01","1,452.01","1,452.01","1,452.01","","0.00%"
"11/18/2010","1,455.57","1,452.01","1,455.57","1,452.01","","0.25%"
"11/21/2010","1,457.79","1,456.78","1,457.94","1,456.51","2.57M","0.15%"
"11/22/2010","1,452.12","1,459.00","1,459.00","1,450.80","1.73M","-0.39%"
"11/23/2010","1,452.44","1,454.18","1,456.25","1,452.44","1.62M","0.02%"
"11/24/2010","1,436.99","1,452.44","1,453.17","1,436.99","2.36M","-1.06%"
"11/25/2010","1,438.51","1,436.97","1,438.51","1,435.24","280.85K","0.11%"
"11/28/2010","1,426.98","1,438.51","1,438.51","1,426.98","1.23M","-0.80%"
"11/29/2010","1,438.87","1,426.98","1,438.87","1,426.98","830.22K","0.83%"
"11/30/2010","1,437.94","1,438.87","1,440.04","1,437.94","1.02M","-0.06%"
"12/01/2010","1,434.12","1,437.94","1,437.94","1,432.74","3.45M","-0.27%"
"12/02/2010","1,418.47","1,433.78","1,433.92","1,418.47","704.74K","-1.09%"
"12/05/2010","1,422.18","1,418.47","1,422.59","1,418.47","1.01M","0.26%"
"12/06/2010","1,429.44","1,422.18","1,430.76","1,422.18","3.00M","0.51%"
"12/07/2010","1,429.44","1,422.18","1,429.44","1,422.18","","0.00%"
"12/08/2010","1,433.04","1,427.38","1,433.04","1,425.73","2.26M","0.25%"
"12/09/2010","1,425.67","1,431.83","1,431.83","1,425.14","740.02K","-0.51%"
"12/12/2010","1,424.27","1,425.67","1,425.67","1,419.44","508.62K","-0.10%"
"12/13/2010","1,424.30","1,424.27","1,426.19","1,421.41","523.37K","0.00%"
"12/14/2010","1,427.14","1,424.30","1,427.14","1,424.30","529.85K","0.20%"
"12/15/2010","1,427.14","1,424.30","1,427.14","1,424.30","","0.00%"
"12/16/2010","1,427.14","1,424.30","1,427.14","1,424.30","","0.00%"
"12/19/2010","1,427.14","1,424.30","1,427.14","1,424.30","","0.00%"
"12/20/2010","1,427.14","1,427.14","1,429.89","1,423.20","661.83K","0.00%"
"12/21/2010","1,423.69","1,427.71","1,427.71","1,423.03","2.19M","-0.24%"
"12/22/2010","1,408.07","1,423.69","1,423.69","1,407.18","3.14M","-1.10%"
"12/23/2010","1,411.02","1,408.07","1,411.02","1,407.73","578.99K","0.21%"
"12/26/2010","1,428.15","1,417.20","1,428.15","1,417.20","612.05K","1.21%"
"12/27/2010","1,426.34","1,430.21","1,430.31","1,425.51","12.96M","-0.13%"
"12/28/2010","1,427.73","1,427.55","1,428.30","1,426.87","3.17M","0.10%"
"12/29/2010","1,427.50","1,427.73","1,427.73","1,427.50","105.84K","-0.02%"
"12/30/2010","1,432.26","1,427.50","1,432.26","1,423.89","2.50M","0.33%"
"01/03/2011","1,427.85","1,432.26","1,432.65","1,426.89","2.29M","-0.31%"
"01/04/2011","1,423.26","1,427.85","1,427.85","1,423.13","1.58M","-0.32%"
"01/05/2011","1,423.65","1,423.26","1,425.35","1,422.77","601.09K","0.03%"
"01/06/2011","1,430.04","1,431.65","1,434.38","1,429.22","1.03M","0.45%"
"01/09/2011","1,428.55","1,430.04","1,435.63","1,428.13","546.79K","-0.10%"
"01/10/2011","1,428.70","1,428.55","1,428.70","1,427.61","435.55K","0.01%"
"01/11/2011","1,424.88","1,429.04","1,429.04","1,424.62","1.18M","-0.27%"
"01/12/2011","1,426.76","1,424.88","1,426.77","1,424.20","2.16M","0.13%"
"01/13/2011","1,431.54","1,427.10","1,431.54","1,423.65","2.94M","0.34%"
"01/16/2011","1,436.19","1,431.54","1,437.72","1,429.20","1.19M","0.32%"
"01/17/2011","1,431.70","1,436.19","1,436.19","1,426.88","1.98M","-0.31%"
"01/18/2011","1,425.88","1,431.70","1,432.19","1,425.72","2.58M","-0.41%"
"01/19/2011","1,425.11","1,425.88","1,427.05","1,420.74","3.81M","-0.05%"
"01/20/2011","1,422.86","1,424.45","1,424.45","1,422.86","680.05K","-0.16%"
"01/23/2011","1,434.00","1,422.86","1,434.00","1,422.37","2.77M","0.78%"
"01/24/2011","1,435.79","1,434.00","1,436.63","1,431.11","1.95M","0.12%"
"01/25/2011","1,454.15","1,442.10","1,457.04","1,442.10","1.70M","1.28%"
"01/26/2011","1,460.67","1,456.25","1,460.67","1,454.15","3.90M","0.45%"
"01/27/2011","1,472.58","1,460.67","1,472.58","1,460.23","800.56K","0.82%"
"01/30/2011","1,451.49","1,472.58","1,472.58","1,451.00","1.79M","-1.43%"
"01/31/2011","1,448.85","1,451.49","1,459.97","1,448.85","1.93M","-0.18%"
"02/01/2011","1,459.04","1,448.59","1,459.04","1,447.54","2.08M","0.70%"
"02/02/2011","1,453.02","1,459.04","1,459.04","1,452.14","594.92K","-0.41%"
"02/03/2011","1,442.35","1,453.02","1,456.13","1,442.35","761.93K","-0.73%"
"02/06/2011","1,450.76","1,442.35","1,450.76","1,439.88","1.40M","0.58%"
"02/07/2011","1,472.84","1,450.76","1,472.84","1,450.76","5.48M","1.52%"
"02/08/2011","1,467.44","1,468.58","1,468.58","1,467.44","838.02K","-0.37%"
"02/09/2011","1,467.08","1,467.44","1,469.13","1,463.32","322.29K","-0.02%"
"02/10/2011","1,467.59","1,467.34","1,467.59","1,466.82","860.72K","0.03%"
"02/13/2011","1,468.36","1,467.59","1,472.50","1,467.59","627.74K","0.05%"
"02/14/2011","1,470.12","1,468.45","1,470.12","1,468.16","521.00K","0.12%"
"02/16/2011","1,466.66","1,471.15","1,471.15","1,466.66","547.51K","-0.24%"
"02/17/2011","1,475.10","1,466.66","1,475.10","1,462.77","47.25K","0.58%"
"02/20/2011","1,471.54","1,475.10","1,475.10","1,462.73","250.95K","-0.24%"
"02/21/2011","1,465.74","1,471.54","1,471.54","1,465.74","772.80K","-0.39%"
"02/22/2011","1,467.92","1,466.08","1,467.92","1,464.54","1.04M","0.15%"
"02/23/2011","1,472.77","1,467.92","1,472.87","1,467.92","298.52K","0.33%"
"02/24/2011","1,432.61","1,466.25","1,466.25","1,432.09","795.56K","-2.73%"
"02/27/2011","1,436.55","1,432.61","1,436.55","1,432.61","958.12K","0.28%"
"02/28/2011","1,430.77","1,436.45","1,436.72","1,428.95","1.98M","-0.40%"
"03/01/2011","1,424.33","1,430.43","1,430.43","1,424.33","858.09K","-0.45%"
"03/02/2011","1,409.79","1,424.33","1,424.33","1,407.15","301.20K","-1.02%"
"03/03/2011","1,377.36","1,409.79","1,409.79","1,375.66","1.13M","-2.30%"
"03/06/2011","1,395.72","1,377.70","1,403.11","1,377.57","1.27M","1.33%"
"03/07/2011","1,397.07","1,399.24","1,409.88","1,397.07","401.40K","0.10%"
"03/08/2011","1,393.15","1,397.75","1,397.75","1,389.37","1.37M","-0.28%"
"03/09/2011","1,409.32","1,393.15","1,409.32","1,376.12","665.59K","1.16%"
"03/10/2011","1,410.98","1,409.32","1,411.77","1,398.66","1.39M","0.12%"
"03/13/2011","1,417.22","1,410.98","1,417.22","1,406.57","325.00K","0.44%"
"03/14/2011","1,395.06","1,417.22","1,417.22","1,395.06","341.96K","-1.56%"
"03/15/2011","1,413.09","1,382.29","1,413.09","1,382.29","673.00K","1.29%"
"03/16/2011","1,413.09","1,413.09","1,413.09","1,395.06","","0.00%"
"03/17/2011","1,414.44","1,413.09","1,414.44","1,389.31","769.44K","0.10%"
"03/20/2011","1,391.81","1,414.44","1,414.44","1,391.81","68.41K","-1.60%"
"03/21/2011","1,401.00","1,391.81","1,405.26","1,391.81","149.43K","0.66%"
"03/22/2011","1,410.84","1,401.00","1,410.84","1,401.00","352.85K","0.70%"
"03/23/2011","1,418.59","1,412.80","1,420.73","1,412.80","530.26K","0.55%"
"03/24/2011","1,422.57","1,419.89","1,422.57","1,419.24","677.65K","0.28%"
"03/27/2011","1,427.21","1,422.57","1,429.16","1,422.57","489.57K","0.33%"
"03/28/2011","1,427.89","1,427.21","1,429.19","1,426.90","605.76K","0.05%"
"03/29/2011","1,426.57","1,427.89","1,427.89","1,405.61","317.50K","-0.09%"
"03/30/2011","1,432.91","1,426.57","1,432.91","1,425.77","617.00K","0.44%"
"03/31/2011","1,424.64","1,432.17","1,432.17","1,421.53","531.12K","-0.58%"
"04/03/2011","1,418.14","1,424.64","1,424.64","1,415.99","237.97K","-0.46%"
"04/04/2011","1,414.77","1,418.14","1,424.41","1,414.77","698.60K","-0.24%"
"04/05/2011","1,418.26","1,414.77","1,420.12","1,407.42","12.86M","0.25%"
"04/06/2011","1,411.87","1,414.03","1,414.52","1,411.87","1.19M","-0.45%"
"04/07/2011","1,411.17","1,412.21","1,412.21","1,409.14","2.00M","-0.05%"
"04/10/2011","1,419.17","1,411.17","1,419.21","1,403.16","2.11M","0.57%"
"04/11/2011","1,419.15","1,419.17","1,419.82","1,418.47","649.70K","0.00%"
"04/12/2011","1,409.35","1,419.15","1,419.65","1,407.47","1.11M","-0.69%"
"04/13/2011","1,401.95","1,404.54","1,404.85","1,401.82","608.07K","-0.53%"
"04/14/2011","1,411.97","1,401.95","1,411.97","1,401.90","1.25M","0.71%"
"04/17/2011","1,404.07","1,411.97","1,413.46","1,404.07","576.32K","-0.56%"
"04/18/2011","1,403.22","1,404.07","1,408.30","1,403.22","1.28M","-0.06%"
"04/19/2011","1,393.82","1,402.21","1,402.55","1,393.82","2.89M","-0.67%"
"04/20/2011","1,401.44","1,393.82","1,407.78","1,393.82","1.94M","0.55%"
"04/21/2011","1,400.83","1,403.55","1,404.23","1,398.46","984.00K","-0.04%"
"04/24/2011","1,400.89","1,400.83","1,401.50","1,395.68","730.52K","0.00%"
"04/25/2011","1,403.15","1,400.89","1,403.15","1,400.89","215.00K","0.16%"
"04/26/2011","1,400.27","1,403.15","1,403.39","1,395.57","3.31M","-0.21%"
"04/27/2011","1,406.51","1,406.61","1,406.61","1,401.51","3.72M","0.45%"
"04/28/2011","1,404.90","1,406.51","1,406.68","1,404.40","2.76M","-0.11%"
"05/02/2011","1,406.02","1,407.01","1,407.35","1,406.02","1.72M","0.08%"
"05/03/2011","1,405.73","1,406.02","1,406.02","1,405.68","241.50K","-0.02%"
"05/04/2011","1,396.23","1,405.73","1,406.07","1,395.82","3.17M","-0.68%"
"05/05/2011","1,393.17","1,396.23","1,396.23","1,387.79","601.83K","-0.22%"
"05/08/2011","1,390.57","1,393.17","1,393.51","1,387.01","1.17M","-0.19%"
"05/09/2011","1,384.98","1,387.68","1,387.68","1,384.98","446.88K","-0.40%"
"05/10/2011","1,381.61","1,382.87","1,382.87","1,379.99","4.41M","-0.24%"
"05/11/2011","1,381.59","1,381.61","1,382.93","1,380.81","4.10M","0.00%"
"05/12/2011","1,382.00","1,381.59","1,383.70","1,379.12","1.36M","0.03%"
"05/15/2011","1,382.90","1,382.00","1,385.00","1,382.00","6.15M","0.07%"
"05/16/2011","1,377.41","1,382.90","1,382.90","1,377.41","755.00K","-0.40%"
"05/17/2011","1,377.89","1,377.41","1,377.89","1,377.41","266.30K","0.03%"
"05/18/2011","1,375.37","1,377.89","1,379.54","1,375.37","255.38K","-0.18%"
"05/19/2011","1,371.65","1,375.37","1,375.37","1,371.61","924.25K","-0.27%"
"05/22/2011","1,364.57","1,371.48","1,371.48","1,363.61","1.38M","-0.52%"
"05/23/2011","1,364.04","1,363.83","1,364.04","1,363.21","718.15K","-0.04%"
"05/24/2011","1,365.59","1,364.04","1,365.59","1,363.91","2.21M","0.11%"
"05/25/2011","1,364.14","1,365.59","1,365.76","1,363.70","1.36M","-0.11%"
"05/26/2011","1,359.45","1,364.14","1,364.14","1,359.44","398.46K","-0.34%"
"05/29/2011","1,351.33","1,359.45","1,359.45","1,351.33","695.18K","-0.60%"
"05/30/2011","1,346.94","1,351.33","1,353.19","1,345.13","649.56K","-0.32%"
"05/31/2011","1,346.66","1,346.18","1,350.37","1,345.02","1.17M","-0.02%"
"06/01/2011","1,349.07","1,346.66","1,349.07","1,344.73","177.90K","0.18%"
"06/02/2011","1,339.21","1,349.07","1,349.07","1,335.22","7.41M","-0.73%"
"06/05/2011","1,337.42","1,339.58","1,339.74","1,336.58","388.54K","-0.13%"
"06/06/2011","1,332.48","1,337.42","1,337.42","1,328.10","914.70K","-0.37%"
"06/07/2011","1,339.16","1,332.56","1,343.68","1,332.47","495.15K","0.50%"
"06/08/2011","1,347.34","1,339.20","1,347.34","1,339.16","1.37M","0.61%"
"06/09/2011","1,347.69","1,347.34","1,347.69","1,344.29","364.13K","0.03%"
"06/12/2011","1,348.78","1,347.69","1,348.78","1,346.84","250.00K","0.08%"
"06/13/2011","1,346.03","1,348.78","1,352.65","1,346.03","2.53M","-0.20%"
"06/14/2011","1,350.92","1,346.03","1,350.92","1,346.03","740.08K","0.36%"
"06/15/2011","1,346.01","1,350.92","1,350.92","1,345.74","933.85K","-0.36%"
"06/16/2011","1,345.21","1,346.01","1,347.74","1,344.39","3.28M","-0.06%"
"06/19/2011","1,342.76","1,345.49","1,345.49","1,340.50","2.34M","-0.18%"
"06/20/2011","1,343.27","1,342.76","1,343.27","1,339.65","314.07K","0.04%"
"06/21/2011","1,340.45","1,342.21","1,342.74","1,340.11","1.01M","-0.21%"
"06/22/2011","1,338.22","1,340.45","1,340.45","1,338.06","110.71K","-0.17%"
"06/23/2011","1,338.61","1,337.01","1,338.61","1,337.01","155.00K","0.03%"
"06/26/2011","1,337.78","1,338.53","1,339.14","1,337.78","69.00K","-0.06%"
"06/27/2011","1,330.03","1,329.51","1,330.31","1,328.82","14.56M","-0.58%"
"06/28/2011","1,328.34","1,330.03","1,330.03","1,327.81","4.52M","-0.13%"
"06/29/2011","1,316.77","1,328.34","1,328.34","1,316.77","493.94K","-0.87%"
"06/30/2011","1,319.71","1,316.77","1,319.71","1,316.77","717.38K","0.22%"
"07/03/2011","1,317.44","1,319.71","1,319.71","1,317.44","441.68K","-0.17%"
"07/04/2011","1,317.72","1,317.75","1,318.54","1,316.81","112.46K","0.02%"
"07/05/2011","1,317.28","1,317.72","1,317.72","1,317.28","298.58K","-0.03%"
"07/06/2011","1,318.47","1,317.28","1,318.47","1,306.87","313.33K","0.09%"
"07/07/2011","1,319.51","1,321.91","1,322.68","1,319.24","303.06K","0.08%"
"07/10/2011","1,319.43","1,319.51","1,319.51","1,319.43","134.00K","-0.01%"
"07/11/2011","1,318.94","1,318.90","1,318.94","1,308.00","171.36K","-0.04%"
"07/12/2011","1,318.32","1,318.94","1,319.11","1,318.32","95.00K","-0.05%"
"07/13/2011","1,317.92","1,317.02","1,317.92","1,314.46","1.07M","-0.03%"
"07/14/2011","1,319.66","1,319.22","1,322.39","1,318.95","812.58K","0.13%"
"07/17/2011","1,316.91","1,319.13","1,319.13","1,316.91","239.36K","-0.21%"
"07/18/2011","1,318.46","1,317.44","1,318.46","1,316.89","72.63K","0.12%"
"07/19/2011","1,317.34","1,318.31","1,318.31","1,317.26","107.22K","-0.08%"
"07/20/2011","1,309.73","1,310.92","1,311.04","1,309.73","136.36K","-0.58%"
"07/21/2011","1,303.27","1,309.73","1,310.26","1,302.17","3.41M","-0.49%"
"07/24/2011","1,298.35","1,300.63","1,300.63","1,298.35","5.24M","-0.38%"
"07/25/2011","1,298.95","1,298.35","1,301.59","1,297.55","581.14K","0.05%"
"07/26/2011","1,299.86","1,298.95","1,300.07","1,298.35","229.87K","0.07%"
"07/27/2011","1,304.99","1,299.86","1,305.03","1,298.14","894.95K","0.39%"
"07/28/2011","1,298.50","1,304.68","1,304.68","1,297.79","493.00K","-0.50%"
"07/31/2011","1,291.66","1,297.47","1,297.47","1,291.65","1.37M","-0.53%"
"08/01/2011","1,290.06","1,291.30","1,292.31","1,286.58","13.75M","-0.12%"
"08/02/2011","1,284.62","1,290.06","1,290.06","1,281.90","8.16M","-0.42%"
"08/03/2011","1,284.36","1,286.34","1,286.34","1,284.36","8.10M","-0.02%"
"08/04/2011","1,281.04","1,280.92","1,281.04","1,280.92","7.10M","-0.26%"
"08/07/2011","1,276.86","1,281.04","1,281.04","1,275.06","60.14K","-0.33%"
"08/08/2011","1,274.69","1,276.14","1,276.14","1,274.69","329.43K","-0.17%"
"08/09/2011","1,265.38","1,274.69","1,274.69","1,265.38","899.60K","-0.73%"
"08/10/2011","1,272.29","1,268.82","1,273.15","1,268.82","500.50K","0.55%"
"08/11/2011","1,266.37","1,270.57","1,270.57","1,265.88","290.10K","-0.47%"
"08/14/2011","1,267.10","1,266.22","1,267.52","1,266.22","72.00K","0.06%"
"08/15/2011","1,266.98","1,267.10","1,267.10","1,266.98","10.00K","-0.01%"
"08/16/2011","1,266.22","1,266.98","1,266.98","1,265.88","360.67K","-0.06%"
"08/17/2011","1,266.26","1,266.22","1,268.73","1,265.92","375.91K","0.00%"
"08/18/2011","1,261.21","1,264.54","1,264.54","1,261.09","694.51K","-0.40%"
"08/21/2011","1,259.80","1,261.21","1,261.21","1,259.80","408.64K","-0.11%"
"08/22/2011","1,263.70","1,259.80","1,263.70","1,259.80","329.49K","0.31%"
"08/23/2011","1,264.83","1,263.70","1,264.83","1,263.18","764.39K","0.09%"
